iter	RMSE
0	1.964596047
1	1.94478959
2	1.902398506
3	1.8667764
4	44	1.81597335655	1.7800009566	1.83431084
7	1.754479759
8	1.73757129	999	1.659077881110	1.639238961111	1.616477661112	1.597620913113	1.58508971414	1.6615506215	1.560461881
16	1.553818021
17	1.53813964
18	1.509718706
19	1.504494195
20	1.498212793
21	1.49034078
22	1.47221071
23	1.455258455
24	1.442904377
25	1.412201241
26	1.401613124
27	1.396088227
28	1.389473495
29	1.378755462
30	1.370348336
31	1.368691395
32	1.365992259
33	1.361247752
34	1.345227114
35	1.334754618
36	1.320280051
37	1.317670751
38	1.312035435
39	1.309327467
40	1.301014861
41	1.297162226
42	1.279733449
43	1.278603746
44	1.259729822
45	1.25865857
46	1.24936095
47	1.232057848
48	1.225617897
49	1.224879338
50	1.214464944
51	1.20406047
52	1.193111562
53	1.187885309
54	1.184915874
55	1.182750708
3356	56	156	1.12357	1.178237352
58	1.172164046
59	1.167139561
60	1.165042706
61	1.157678855
62	1.155993599
6363	163	1.09336464	1.12297242
65	1.117770698
66	1.115130594
67	1.103972296
68	1.100304382
4854
69	1.056759294
70	1.045513023
71	1.044382022
72	1.042429503
73	1.036086485
.109978222
75	1.100370796
76	1.091268957
77	1.07775212
78	1.074950831
79	1.070904784
1749
80	0.9934066672
81	0.9826814573
82	0.9778331544
83	0.9746165642
