기준년월,행정동코드,월유동인구수
202307,4111156000,241011.94
202308,4111156000,241268.02
202309,4111156000,236580.4
202310,4111156000,268762.16
202311,4111156000,253510.66
202312,4111156000,254986.72
202401,4111156000,244673.23
202402,4111156000,211774.66
202403,4111156000,251475.44
202404,4111156000,251709.61
202405,4111156000,256072.52
202406,4111156000,245236.31
202407,4111156000,247601.48
202408,4111156000,243807.16
202409,4111156000,256290.52
202410,4111156000,246609.88
202411,4111156000,248006.6
202412,4111156000,247004.08
202501,4111156000,246766.48
202502,4111156000,231349.88
202503,4111156000,260782.53
202504,4111156000,248881.2
202505,4111156000,243738.14
202506,4111156000,239134.22
202307,4111156600,511438.1
202308,4111156600,520708.84
202309,4111156600,553485.3
202310,4111156600,553091.2
202311,4111156600,526834.5
202312,4111156600,515815.22
202401,4111156600,507592.44
202402,4111156600,471971.53
202403,4111156600,614724.5
202404,4111156600,552811.1
202405,4111156600,552327.44
202406,4111156600,509329.88
202407,4111156600,490253.38
202408,4111156600,485605.28
202409,4111156600,571141.4
202410,4111156600,542466.8
202411,4111156600,515726.25
202412,4111156600,514471.8
202501,4111156600,510537.3
202502,4111156600,495038.2
202503,4111156600,621300.75
202504,4111156600,535143.75
202505,4111156600,520269.78
202506,4111156600,496883.78
202307,4111157100,283397.62
202308,4111157100,278846.78
202309,4111157100,279775.44
202310,4111157100,305058.1
202311,4111157100,294267.75
202312,4111157100,299993.44
202401,4111157100,298206.1
202402,4111157100,257224.52
202403,4111157100,283947.66
202404,4111157100,339032.66
202405,4111157100,341624.44
202406,4111157100,362086.53
202407,4111157100,362148.4
202408,4111157100,379243.3
202409,4111157100,412522.56
202410,4111157100,413647.66
202411,4111157100,424518.56
202412,4111157100,425891.47
202501,4111157100,454565.4
202502,4111157100,410626.38
202503,4111157100,427531.4
202504,4111157100,413347.88
202505,4111157100,411251.5
202506,4111157100,409920.94
202307,4111157200,1102608.0
202308,4111157200,1094405.8
202309,4111157200,1084687.1
202310,4111157200,1257053.9
202311,4111157200,1153873.4
202312,4111157200,1191879.8
202401,4111157200,1220887.8
202402,4111157200,1176296.1
202403,4111157200,1258167.2
202404,4111157200,1208464.6
202405,4111157200,1232758.8
202406,4111157200,1189128.2
202407,4111157200,1202402.0
202408,4111157200,1310900.2
202409,4111157200,1696663.4
202410,4111157200,1542272.6
202411,4111157200,1476222.6
202412,4111157200,1571226.2
202501,4111157200,1659030.2
202502,4111157200,1417313.1
202503,4111157200,1526050.8
202504,4111157200,1400493.1
202505,4111157200,1497756.5
202506,4111157200,1448488.8
202307,4111157300,694316.4
202308,4111157300,695759.25
202309,4111157300,705658.1
202310,4111157300,714892.1
202311,4111157300,682493.06
202312,4111157300,673174.0
202401,4111157300,678063.6
202402,4111157300,610088.0
202403,4111157300,714748.0
202404,4111157300,716657.44
202405,4111157300,695419.0
202406,4111157300,674474.06
202407,4111157300,680891.0
202408,4111157300,673080.25
202409,4111157300,761922.44
202410,4111157300,743955.3
202411,4111157300,698878.1
202412,4111157300,716734.4
202501,4111157300,729724.94
202502,4111157300,643428.1
202503,4111157300,732644.75
202504,4111157300,734593.8
202505,4111157300,717949.6
202506,4111157300,690842.0
202307,4111158000,260519.95
202308,4111158000,286291.47
202309,4111158000,312358.84
202310,4111158000,282059.5
202311,4111158000,280167.38
202312,4111158000,297870.88
202401,4111158000,364333.03
202402,4111158000,418246.4
202403,4111158000,409675.75
202404,4111158000,397945.88
202405,4111158000,405274.1
202406,4111158000,385433.62
202407,4111158000,389617.62
202408,4111158000,347939.38
202409,4111158000,281557.47
202410,4111158000,261649.7
202411,4111158000,253658.0
202412,4111158000,248775.19
202501,4111158000,266393.03
202502,4111158000,246640.73
202503,4111158000,253870.88
202504,4111158000,254349.06
202505,4111158000,262221.75
202506,4111158000,254437.98
202307,4111159100,253406.31
202308,4111159100,249653.62
202309,4111159100,251946.78
202310,4111159100,256666.03
202311,4111159100,252347.7
202312,4111159100,256436.7
202401,4111159100,265794.7
202402,4111159100,237357.45
202403,4111159100,267814.28
202404,4111159100,261085.89
202405,4111159100,257802.66
202406,4111159100,243657.8
202407,4111159100,253780.16
202408,4111159100,244893.98
202409,4111159100,274949.22
202410,4111159100,245738.69
202411,4111159100,230312.1
202412,4111159100,233704.1
202501,4111159100,242062.27
202502,4111159100,222151.4
202503,4111159100,263012.2
202504,4111159100,254101.86
202505,4111159100,248375.22
202506,4111159100,250241.12
202307,4111159700,2143133.8
202308,4111159700,2075926.6
202309,4111159700,1972160.0
202310,4111159700,2161495.8
202311,4111159700,1912156.6
202312,4111159700,1877019.1
202401,4111159700,1878525.6
202402,4111159700,1653856.8
202403,4111159700,1990642.0
202404,4111159700,2019254.1
202405,4111159700,2022668.5
202406,4111159700,2024990.5
202407,4111159700,1975126.8
202408,4111159700,2047987.9
202409,4111159700,2161225.2
202410,4111159700,1935142.0
202411,4111159700,1827794.1
202412,4111159700,1838583.5
202501,4111159700,1871183.6
202502,4111159700,1718619.4
202503,4111159700,2005715.4
202504,4111159700,1859049.8
202505,4111159700,2057455.5
202506,4111159700,1905094.1
202307,4111159800,820993.6
202308,4111159800,862638.6
202309,4111159800,831141.1
202310,4111159800,905063.1
202311,4111159800,855165.5
202312,4111159800,905291.94
202401,4111159800,900560.8
202402,4111159800,826841.25
202403,4111159800,859345.5
202404,4111159800,767931.1
202405,4111159800,799763.6
202406,4111159800,764215.0
202407,4111159800,825028.25
202408,4111159800,1158670.0
202409,4111159800,1200995.2
202410,4111159800,1029730.2
202411,4111159800,1127132.9
202412,4111159800,1058299.5
202501,4111159800,1120276.1
202502,4111159800,1002251.25
202503,4111159800,1057704.6
202504,4111159800,1000793.25
202505,4111159800,1021266.1
202506,4111159800,990795.94
202307,4111160000,148065.7
202308,4111160000,145461.55
202309,4111160000,152097.31
202310,4111160000,161017.6
202311,4111160000,136371.03
202312,4111160000,131684.31
202401,4111160000,133827.53
202402,4111160000,138670.94
202403,4111160000,162276.53
202404,4111160000,161832.31
202405,4111160000,151239.11
202406,4111160000,146842.27
202407,4111160000,146857.88
202408,4111160000,145529.02
202409,4111160000,167118.95
202410,4111160000,167148.81
202411,4111160000,149460.69
202412,4111160000,138658.75
202501,4111160000,142977.19
202502,4111160000,134715.25
202503,4111160000,165499.38
202504,4111160000,158809.44
202505,4111160000,165324.28
202506,4111160000,150103.3
202307,4111352000,102697.42
202308,4111352000,107743.15
202309,4111352000,102596.9
202310,4111352000,99549.79
202311,4111352000,97515.2
202312,4111352000,102136.01
202401,4111352000,109384.55
202402,4111352000,105707.97
202403,4111352000,106803.38
202404,4111352000,106115.64
202405,4111352000,105216.19
202406,4111352000,100468.5
202407,4111352000,99991.26
202408,4111352000,102187.86
202409,4111352000,123856.76
202410,4111352000,100823.35
202411,4111352000,97133.11
202412,4111352000,97985.12
202501,4111352000,120477.76
202502,4111352000,105889.06
202503,4111352000,107136.54
202504,4111352000,100265.86
202505,4111352000,105382.23
202506,4111352000,96119.74
202307,4111353000,551305.3
202308,4111353000,541477.5
202309,4111353000,516027.12
202310,4111353000,557446.06
202311,4111353000,520636.2
202312,4111353000,527175.7
202401,4111353000,541264.7
202402,4111353000,494426.97
202403,4111353000,535308.4
202404,4111353000,546358.06
202405,4111353000,540090.9
202406,4111353000,525138.25
202407,4111353000,527411.94
202408,4111353000,524504.94
202409,4111353000,613829.8
202410,4111353000,507545.22
202411,4111353000,502484.5
202412,4111353000,517435.38
202501,4111353000,594111.7
202502,4111353000,549948.94
202503,4111353000,525906.1
202504,4111353000,510391.28
202505,4111353000,518811.56
202506,4111353000,490116.2
202307,4111354000,341589.38
202308,4111354000,326714.8
202309,4111354000,332953.53
202310,4111354000,349780.44
202311,4111354000,325102.8
202312,4111354000,351218.5
202401,4111354000,365539.06
202402,4111354000,309927.9
202403,4111354000,333081.62
202404,4111354000,341109.6
202405,4111354000,311812.44
202406,4111354000,297292.44
202407,4111354000,307307.34
202408,4111354000,291211.38
202409,4111354000,335381.53
202410,4111354000,308060.06
202411,4111354000,295831.84
202412,4111354000,299825.5
202501,4111354000,352311.12
202502,4111354000,323258.78
202503,4111354000,310641.12
202504,4111354000,296034.94
202505,4111354000,318028.16
202506,4111354000,318651.9
202307,4111355000,143585.67
202308,4111355000,140886.1
202309,4111355000,139221.38
202310,4111355000,148239.06
202311,4111355000,143937.02
202312,4111355000,141193.02
202401,4111355000,146171.4
202402,4111355000,130829.38
202403,4111355000,144154.45
202404,4111355000,146461.05
202405,4111355000,147091.72
202406,4111355000,152238.45
202407,4111355000,144623.73
202408,4111355000,141783.6
202409,4111355000,146309.27
202410,4111355000,143549.69
202411,4111355000,144032.75
202412,4111355000,142018.7
202501,4111355000,140195.31
202502,4111355000,139126.12
202503,4111355000,147826.66
202504,4111355000,149115.88
202505,4111355000,144405.05
202506,4111355000,140478.27
202307,4111356000,438076.0
202308,4111356000,426756.2
202309,4111356000,418656.0
202310,4111356000,439673.28
202311,4111356000,405875.53
202312,4111356000,422738.78
202401,4111356000,413485.25
202402,4111356000,364476.44
202403,4111356000,407955.38
202404,4111356000,412920.06
202405,4111356000,413950.12
202406,4111356000,405621.62
202407,4111356000,411136.28
202408,4111356000,404636.88
202409,4111356000,432329.6
202410,4111356000,418494.03
202411,4111356000,420714.22
202412,4111356000,410953.44
202501,4111356000,416373.16
202502,4111356000,380014.3
202503,4111356000,413374.25
202504,4111356000,399288.22
202505,4111356000,413907.5
202506,4111356000,434078.25
202307,4111365000,373508.8
202308,4111365000,396743.78
202309,4111365000,387514.62
202310,4111365000,388942.06
202311,4111365000,374574.84
202312,4111365000,391574.75
202401,4111365000,389731.9
202402,4111365000,356614.3
202403,4111365000,384078.44
202404,4111365000,368357.44
202405,4111365000,375950.5
202406,4111365000,370703.66
202407,4111365000,381744.12
202408,4111365000,389955.44
202409,4111365000,400127.78
202410,4111365000,382991.62
202411,4111365000,385089.28
202412,4111365000,395165.6
202501,4111365000,398948.0
202502,4111365000,361539.53
202503,4111365000,389382.7
202504,4111365000,378197.06
202505,4111365000,391551.97
202506,4111365000,380344.3
202307,4111366200,803159.5
202308,4111366200,789903.2
202309,4111366200,784596.9
202310,4111366200,830735.3
202311,4111366200,770417.7
202312,4111366200,811214.3
202401,4111366200,814373.1
202402,4111366200,746486.94
202403,4111366200,826477.75
202404,4111366200,842342.7
202405,4111366200,826311.44
202406,4111366200,811249.8
202407,4111366200,813210.75
202408,4111366200,802416.25
202409,4111366200,868095.5
202410,4111366200,826253.0
202411,4111366200,802053.25
202412,4111366200,810061.8
202501,4111366200,826143.25
202502,4111366200,747205.75
202503,4111366200,816026.75
202504,4111366200,800169.8
202505,4111366200,792017.7
202506,4111366200,779390.5
202307,4111366400,250585.77
202308,4111366400,246252.89
202309,4111366400,246467.25
202310,4111366400,269226.78
202311,4111366400,260630.1
202312,4111366400,272231.38
202401,4111366400,268327.22
202402,4111366400,246436.73
202403,4111366400,250026.31
202404,4111366400,256439.67
202405,4111366400,257033.64
202406,4111366400,254028.97
202407,4111366400,264330.25
202408,4111366400,273870.8
202409,4111366400,271876.66
202410,4111366400,266257.4
202411,4111366400,262032.06
202412,4111366400,264968.62
202501,4111366400,269892.16
202502,4111366400,248693.97
202503,4111366400,268551.2
202504,4111366400,252666.36
202505,4111366400,262010.19
202506,4111366400,257809.6
202307,4111367000,1480385.8
202308,4111367000,1492788.9
202309,4111367000,1462384.8
202310,4111367000,1644049.0
202311,4111367000,1579876.5
202312,4111367000,1626215.9
202401,4111367000,1666580.1
202402,4111367000,1531126.6
202403,4111367000,1668855.8
202404,4111367000,1608897.5
202405,4111367000,1656357.2
202406,4111367000,1608443.0
202407,4111367000,1662192.9
202408,4111367000,1614611.8
202409,4111367000,1732168.5
202410,4111367000,1580379.0
202411,4111367000,1552318.8
202412,4111367000,1570621.0
202501,4111367000,1634640.1
202502,4111367000,1549985.2
202503,4111367000,1556825.9
202504,4111367000,1497388.6
202505,4111367000,1535243.9
202506,4111367000,1488121.2
202307,4111368000,1265785.2
202308,4111368000,1276778.0
202309,4111368000,1321102.9
202310,4111368000,1231299.5
202311,4111368000,1142205.1
202312,4111368000,1162975.9
202401,4111368000,1172418.0
202402,4111368000,1061563.5
202403,4111368000,1180089.9
202404,4111368000,1274839.2
202405,4111368000,1212861.5
202406,4111368000,1184181.9
202407,4111368000,1245337.8
202408,4111368000,1271680.0
202409,4111368000,1274738.0
202410,4111368000,1201771.8
202411,4111368000,1186629.1
202412,4111368000,1204578.0
202501,4111368000,1268247.4
202502,4111368000,1149466.5
202503,4111368000,1226335.9
202504,4111368000,1172027.8
202505,4111368000,1183585.0
202506,4111368000,1201970.8
202307,4111369000,488419.7
202308,4111369000,483330.97
202309,4111369000,471152.4
202310,4111369000,490849.2
202311,4111369000,453983.22
202312,4111369000,464454.25
202401,4111369000,471158.84
202402,4111369000,417746.44
202403,4111369000,463629.44
202404,4111369000,466033.22
202405,4111369000,456306.22
202406,4111369000,447309.9
202407,4111369000,450209.78
202408,4111369000,437761.28
202409,4111369000,491587.28
202410,4111369000,480547.9
202411,4111369000,466815.9
202412,4111369000,473029.5
202501,4111369000,484790.44
202502,4111369000,454199.78
202503,4111369000,526145.1
202504,4111369000,467597.6
202505,4111369000,480021.53
202506,4111369000,463084.7
202307,4111370000,98122.59
202308,4111370000,96925.17
202309,4111370000,98605.32
202310,4111370000,115595.21
202311,4111370000,100290.07
202312,4111370000,100370.77
202401,4111370000,101298.33
202402,4111370000,93940.51
202403,4111370000,101787.89
202404,4111370000,100357.52
202405,4111370000,100201.43
202406,4111370000,93070.3
202407,4111370000,102514.19
202408,4111370000,101543.7
202409,4111370000,111038.85
202410,4111370000,106564.38
202411,4111370000,102857.23
202412,4111370000,101636.3
202501,4111370000,104657.25
202502,4111370000,95589.48
202503,4111370000,101874.43
202504,4111370000,100375.47
202505,4111370000,102454.77
202506,4111370000,102974.13
202307,4111565000,328689.38
202308,4111565000,319816.3
202309,4111565000,326209.38
202310,4111565000,351391.2
202311,4111565000,323310.44
202312,4111565000,329967.56
202401,4111565000,328576.88
202402,4111565000,288864.06
202403,4111565000,339688.84
202404,4111565000,336734.7
202405,4111565000,353517.97
202406,4111565000,331394.75
202407,4111565000,344809.8
202408,4111565000,337455.22
202409,4111565000,377631.22
202410,4111565000,351024.78
202411,4111565000,340092.66
202412,4111565000,344334.9
202501,4111565000,361967.7
202502,4111565000,349058.88
202503,4111565000,367665.44
202504,4111565000,350780.66
202505,4111565000,395162.78
