시군명,기준년월,월별신규가입자수(명),월별충전액(백만원),월별사용액(백만원)
가평군,2026-07,69,4429,4467
가평군,2026-06,61,3790,3756
가평군,2026-05,105,4125,4158
가평군,2026-04,68,4384,4565
가평군,2026-03,57,4893,4359
가평군,2026-02,53,3447,3573
가평군,2026-01,89,4374,3660
가평군,2025-12,65,2380,2635
가평군,2025-11,59,3026,3225
가평군,2025-10,111,2555,3290
가평군,2025-09,287,6664,4224
가평군,2025-08,194,2927,2758
가평군,2025-07,509,3131,2793
가평군,2025-06,215,3035,2942
가평군,2025-05,261,3141,3109
가평군,2025-04,388,3063,3038
가평군,2025-03,860,3002,3008
가평군,2025-02,837,2655,2614
가평군,2025-01,690,2717,2638
가평군,2024-12,641,2796,3324
가평군,2024-11,633,2785,2511
가평군,2024-10,752,2667,2962
가평군,2024-09,614,2628,1780
가평군,2024-08,658,2634,1900
가평군,2024-07,678,2470,2204
가평군,2024-06,719,2364,1311
가평군,2024-05,543,2520,1529
가평군,2024-04,663,2448,1386
가평군,2024-03,587,2344,1367
가평군,2024-02,547,2178,602
가평군,2024-01,552,2154,1667
고양시,2026-07,1696,2630,4143
고양시,2026-06,2596,3997,5558
고양시,2026-05,3149,7389,7591
고양시,2026-04,3485,7446,7703
고양시,2026-03,3638,8454,8577
고양시,2026-02,3287,7382,7275
고양시,2026-01,4075,7500,7887
고양시,2025-12,6154,9758,9530
고양시,2025-11,4522,9055,8895
고양시,2025-10,4890,6986,6924
고양시,2025-09,5197,6407,6090
고양시,2025-08,8496,8481,7095
고양시,2025-07,13051,9653,3106
고양시,2025-06,2489,399,1067
고양시,2025-05,2398,446,1355
고양시,2025-04,2852,587,1776
고양시,2025-03,3549,647,2600
고양시,2025-02,4527,745,3502
고양시,2025-01,4713,901,6403
고양시,2024-12,4709,11381,12555
고양시,2024-11,5880,13886,12311
고양시,2024-10,7389,10485,11758
고양시,2024-09,6633,16462,11277
고양시,2024-08,5088,10091,9543
고양시,2024-07,4310,10110,8808
고양시,2024-06,3127,10296,7635
고양시,2024-05,3331,7843,3789
고양시,2024-04,2515,654,819
고양시,2024-03,2400,727,2498
고양시,2024-02,3021,864,3472
고양시,2024-01,3827,1264,6727
과천시,2026-07,555,2459,2632
과천시,2026-06,612,2437,2788
과천시,2026-05,697,2445,3063
과천시,2026-04,783,2438,3479
과천시,2026-03,1073,3739,6305
과천시,2026-02,794,7137,5336
과천시,2026-01,926,3261,5533
과천시,2025-12,986,7457,6454
과천시,2025-11,1102,6903,6962
과천시,2025-10,997,6458,4932
과천시,2025-09,1207,5628,4541
과천시,2025-08,1398,3298,3718
과천시,2025-07,1955,5369,4282
과천시,2025-06,649,2637,3848
과천시,2025-05,713,3003,4405
과천시,2025-04,1079,4107,4529
과천시,2025-03,1317,3939,4924
과천시,2025-02,1154,3597,4641
과천시,2025-01,1202,9788,4814
과천시,2024-12,779,3411,5521
과천시,2024-11,940,3199,3813
과천시,2024-10,1019,2868,4058
과천시,2024-09,1142,8639,4072
과천시,2024-08,820,3622,3416
과천시,2024-07,924,3870,3281
과천시,2024-06,778,4650,2075
과천시,2024-05,971,2814,2536
과천시,2024-04,920,2662,2562
과천시,2024-03,994,2529,2714
과천시,2024-02,1299,5721,2611
과천시,2024-01,838,2502,977
광명시,2026-07,2746,25414,28190
광명시,2026-06,3249,27061,28195
광명시,2026-05,4444,26303,28391
광명시,2026-04,3450,24516,27864
광명시,2026-03,3800,23974,29757
광명시,2026-02,2933,26636,27149
광명시,2026-01,3483,17407,28753
광명시,2025-12,3810,40211,30474
광명시,2025-11,2358,51036,31246
광명시,2025-10,3767,24919,24813
광명시,2025-09,4317,20625,19364
광명시,2025-08,4955,16566,15665
광명시,2025-07,6165,22800,16410
광명시,2025-06,1907,13357,14338
광명시,2025-05,1766,13062,14812
광명시,2025-04,4557,12763,14992
광명시,2025-03,10054,12221,15066
광명시,2025-02,41446,11126,10465
광명시,2025-01,18264,25873,10754
광명시,2024-12,2615,4310,8798
광명시,2024-11,2512,10570,11885
광명시,2024-10,3024,9884,12920
광명시,2024-09,2606,17060,13734
광명시,2024-08,2459,11553,12484
광명시,2024-07,2201,11216,12383
광명시,2024-06,1945,10585,12567
광명시,2024-05,2291,17966,14094
광명시,2024-04,2436,11772,11748
광명시,2024-03,2645,9935,11374
광명시,2024-02,2244,16097,11139
광명시,2024-01,2481,11604,8169
광주시,2026-07,1749,7466,7782
광주시,2026-06,2024,7444,7453
광주시,2026-05,3141,7470,7664
광주시,2026-04,1841,7607,8855
광주시,2026-03,1731,7618,9975
광주시,2026-02,1643,11547,11179
광주시,2026-01,2012,11335,11348
광주시,2025-12,2015,6912,8862
광주시,2025-11,2037,7152,10569
광주시,2025-10,3627,15467,11510
광주시,2025-09,4997,17287,11434
광주시,2025-08,6902,8562,8694
광주시,2025-07,8042,11617,9547
광주시,2025-06,2077,9338,9668
광주시,2025-05,1652,9553,10190
광주시,2025-04,2472,9323,9985
광주시,2025-03,2356,9558,11172
광주시,2025-02,2470,7801,10544
광주시,2025-01,2695,17196,10465
