기준월,행정동코드,매출금액,행정구역,총인구수,월유동인구수,년도,spatial_cluster
7,4111156000,41128684,경기도 수원시 장안구 파장동,22480,241011.94,2023,0
8,4111156000,5115679,경기도 수원시 장안구 파장동,22451,241268.02,2023,0
9,4111156000,436318,경기도 수원시 장안구 파장동,22410,236580.4,2023,0
10,4111156000,631469,경기도 수원시 장안구 파장동,23628,268762.16,2023,0
11,4111156000,591386,경기도 수원시 장안구 파장동,24542,253510.66,2023,0
12,4111156000,396281,경기도 수원시 장안구 파장동,24858,254986.72,2023,0
1,4111156000,204876,경기도 수원시 장안구 파장동,24998,244673.23,2024,0
2,4111156000,526923,경기도 수원시 장안구 파장동,25100,211774.66,2024,0
3,4111156000,218128,경기도 수원시 장안구 파장동,25080,251475.44,2024,0
4,4111156000,423491,경기도 수원시 장안구 파장동,24960,251709.61,2024,0
5,4111156000,373637,경기도 수원시 장안구 파장동,24895,256072.52,2024,0
6,4111156000,360225,경기도 수원시 장안구 파장동,24870,245236.31,2024,0
7,4111156000,426941,경기도 수원시 장안구 파장동,24919,247601.48,2024,0
8,4111156000,436141,경기도 수원시 장안구 파장동,24935,243807.16,2024,0
9,4111156000,216932,경기도 수원시 장안구 파장동,24855,256290.52,2024,0
10,4111156000,345212,경기도 수원시 장안구 파장동,24806,246609.88,2024,0
11,4111156000,536252,경기도 수원시 장안구 파장동,24781,248006.6,2024,0
12,4111156000,256166,경기도 수원시 장안구 파장동,24770,247004.08,2024,0
1,4111156000,809083,경기도 수원시 장안구 파장동,24752,246766.48,2025,0
2,4111156000,742091,경기도 수원시 장안구 파장동,24723,231349.88,2025,0
3,4111156000,414345,경기도 수원시 장안구 파장동,24696,260782.53,2025,0
4,4111156000,300889,경기도 수원시 장안구 파장동,24703,248881.2,2025,0
5,4111156000,128123,경기도 수원시 장안구 파장동,24675,243738.14,2025,0
6,4111156000,415692,경기도 수원시 장안구 파장동,24619,239134.22,2025,0
7,4111156600,107767496,경기도 수원시 장안구 율천동,40844,511438.1,2023,2
8,4111156600,16675020,경기도 수원시 장안구 율천동,40780,520708.84,2023,2
9,4111156600,2090468,경기도 수원시 장안구 율천동,40758,553485.3,2023,2
10,4111156600,2454601,경기도 수원시 장안구 율천동,40650,553091.2,2023,2
11,4111156600,1845397,경기도 수원시 장안구 율천동,40510,526834.5,2023,2
12,4111156600,1875574,경기도 수원시 장안구 율천동,40392,515815.22,2023,2
1,4111156600,2284192,경기도 수원시 장안구 율천동,40268,507592.44,2024,2
