기준년월,행정동코드,매출금액,활성화비율,행정구역,총인구수,월유동인구수,년도,가맹점수_소매,가맹점수_숙박,가맹점수_음식,가맹점수_부동산,가맹점수_과학·기술,가맹점수_시설관리·임대,가맹점수_교육,가맹점수_보건의료,가맹점수_예술·스포츠,가맹점수_수리·개인,가맹점수_기타
202307,4111156000,41128684.0,100.0,경기도 수원시 장안구 파장동,22480.0,241011.94,2023,274,3,248,1,6,4,14,21,25,97,19
202308,4111156000,5115679.0,100.0,경기도 수원시 장안구 파장동,22451.0,241268.02,2023,274,3,248,1,6,4,14,21,25,97,19
202309,4111156000,436318.0,100.0,경기도 수원시 장안구 파장동,22410.0,236580.4,2023,274,3,248,1,6,4,14,21,25,97,19
202310,4111156000,631469.0,100.0,경기도 수원시 장안구 파장동,23628.0,268762.16,2023,274,3,248,1,6,4,14,21,25,97,19
202311,4111156000,591386.0,100.0,경기도 수원시 장안구 파장동,24542.0,253510.66,2023,274,3,248,1,6,4,14,21,25,97,19
202312,4111156000,396281.0,100.0,경기도 수원시 장안구 파장동,24858.0,254986.72,2023,274,3,248,1,6,4,14,21,25,97,19
202401,4111156000,204876.0,100.0,경기도 수원시 장안구 파장동,24998.0,244673.23,2024,268,2,240,1,7,4,38,22,25,85,21
202402,4111156000,526923.0,100.0,경기도 수원시 장안구 파장동,25100.0,211774.66,2024,268,2,240,1,7,4,38,22,25,85,21
202403,4111156000,218128.0,100.0,경기도 수원시 장안구 파장동,25080.0,251475.44,2024,268,2,240,1,7,4,38,22,25,85,21
202404,4111156000,423491.0,100.0,경기도 수원시 장안구 파장동,24960.0,251709.61,2024,268,2,240,1,7,4,38,22,25,85,21
202405,4111156000,373637.0,100.0,경기도 수원시 장안구 파장동,24895.0,256072.52,2024,268,2,240,1,7,4,38,22,25,85,21
202406,4111156000,360225.0,100.0,경기도 수원시 장안구 파장동,24870.0,245236.31,2024,268,2,240,1,7,4,38,22,25,85,21
202407,4111156000,426941.0,100.0,경기도 수원시 장안구 파장동,24919.0,247601.48,2024,268,2,240,1,7,4,38,22,25,85,21
202408,4111156000,436141.0,100.0,경기도 수원시 장안구 파장동,24935.0,243807.16,2024,268,2,240,1,7,4,38,22,25,85,21
202409,4111156000,216932.0,100.0,경기도 수원시 장안구 파장동,24855.0,256290.52,2024,268,2,240,1,7,4,38,22,25,85,21
202410,4111156000,345212.0,100.0,경기도 수원시 장안구 파장동,24806.0,246609.88,2024,268,2,240,1,7,4,38,22,25,85,21
202411,4111156000,536252.0,100.0,경기도 수원시 장안구 파장동,24781.0,248006.6,2024,268,2,240,1,7,4,38,22,25,85,21
202412,4111156000,256166.0,100.0,경기도 수원시 장안구 파장동,24770.0,247004.08,2024,268,2,240,1,7,4,38,22,25,85,21
202501,4111156000,809083.0,100.0,경기도 수원시 장안구 파장동,24752.0,246766.48,2025,248,2,226,1,7,3,37,20,18,86,20
202502,4111156000,742091.0,100.0,경기도 수원시 장안구 파장동,24723.0,231349.88,2025,248,2,226,1,7,3,37,20,18,86,20
202503,4111156000,414345.0,100.0,경기도 수원시 장안구 파장동,24696.0,260782.53,2025,248,2,226,1,7,3,37,20,18,86,20
202504,4111156000,300889.0,100.0,경기도 수원시 장안구 파장동,24703.0,248881.2,2025,248,2,226,1,7,3,37,20,18,86,20
202505,4111156000,128123.0,100.0,경기도 수원시 장안구 파장동,24675.0,243738.14,2025,248,2,226,1,7,3,37,20,18,86,20
202506,4111156000,415692.0,100.0,경기도 수원시 장안구 파장동,24619.0,239134.22,2025,248,2,226,1,7,3,37,20,18,86,20
202307,4111156600,107767496.0,100.0,경기도 수원시 장안구 율천동,40844.0,511438.1,2023,297,3,456,3,8,5,69,30,69,160,29
202308,4111156600,16675020.0,100.0,경기도 수원시 장안구 율천동,40780.0,520708.84,2023,297,3,456,3,8,5,69,30,69,160,29
202309,4111156600,2090468.0,100.0,경기도 수원시 장안구 율천동,40758.0,553485.3,2023,297,3,456,3,8,5,69,30,69,160,29
202310,4111156600,2454601.0,100.0,경기도 수원시 장안구 율천동,40650.0,553091.2,2023,297,3,456,3,8,5,69,30,69,160,29
202311,4111156600,1845397.0,100.0,경기도 수원시 장안구 율천동,40510.0,526834.5,2023,297,3,456,3,8,5,69,30,69,160,29
202312,4111156600,1875574.0,100.0,경기도 수원시 장안구 율천동,40392.0,515815.22,2023,297,3,456,3,8,5,69,30,69,160,29
202401,4111156600,2284192.0,100.0,경기도 수원시 장안구 율천동,40268.0,507592.44,2024,217,3,464,3,9,5,142,30,74,165,32
202402,4111156600,1847690.0,100.0,경기도 수원시 장안구 율천동,40262.0,471971.53,2024,217,3,464,3,9,5,142,30,74,165,32
202403,4111156600,1179942.0,100.0,경기도 수원시 장안구 율천동,40329.0,614724.5,2024,217,3,464,3,9,5,142,30,74,165,32
202404,4111156600,2135551.0,100.0,경기도 수원시 장안구 율천동,40197.0,552811.1,2024,217,3,464,3,9,5,142,30,74,165,32
202405,4111156600,1471504.0,100.0,경기도 수원시 장안구 율천동,40131.0,552327.44,2024,217,3,464,3,9,5,142,30,74,165,32
202406,4111156600,1980290.0,100.0,경기도 수원시 장안구 율천동,40057.0,509329.88,2024,217,3,464,3,9,5,142,30,74,165,32
202407,4111156600,2041052.0,100.0,경기도 수원시 장안구 율천동,40019.0,490253.38,2024,217,3,464,3,9,5,142,30,74,165,32
202408,4111156600,1707660.0,100.0,경기도 수원시 장안구 율천동,40018.0,485605.28,2024,217,3,464,3,9,5,142,30,74,165,32
202409,4111156600,1767088.0,100.0,경기도 수원시 장안구 율천동,40038.0,571141.4,2024,217,3,464,3,9,5,142,30,74,165,32
202410,4111156600,1630997.0,100.0,경기도 수원시 장안구 율천동,39931.0,542466.8,2024,217,3,464,3,9,5,142,30,74,165,32
202411,4111156600,1867251.0,100.0,경기도 수원시 장안구 율천동,39888.0,515726.25,2024,217,3,464,3,9,5,142,30,74,165,32
202412,4111156600,1906846.0,100.0,경기도 수원시 장안구 율천동,39864.0,514471.8,2024,217,3,464,3,9,5,142,30,74,165,32
202501,4111156600,2119782.0,100.0,경기도 수원시 장안구 율천동,39702.0,510537.3,2025,205,2,420,2,7,3,137,25,63,158,33
202502,4111156600,2360098.0,100.0,경기도 수원시 장안구 율천동,39812.0,495038.2,2025,205,2,420,2,7,3,137,25,63,158,33
202503,4111156600,1544115.0,100.0,경기도 수원시 장안구 율천동,39847.0,621300.75,2025,205,2,420,2,7,3,137,25,63,158,33
202504,4111156600,1161495.0,100.0,경기도 수원시 장안구 율천동,39738.0,535143.75,2025,205,2,420,2,7,3,137,25,63,158,33
202505,4111156600,1162030.0,100.0,경기도 수원시 장안구 율천동,39727.0,520269.78,2025,205,2,420,2,7,3,137,25,63,158,33
202506,4111156600,1366542.0,100.0,경기도 수원시 장안구 율천동,39651.0,496883.78,2025,205,2,420,2,7,3,137,25,63,158,33
202307,4111157100,84290647.0,100.0,경기도 수원시 장안구 정자1동,27895.0,283397.62,2023,154,2,118,0,3,1,49,18,18,59,10
202308,4111157100,14896943.0,100.0,경기도 수원시 장안구 정자1동,27812.0,278846.78,2023,154,2,118,0,3,1,49,18,18,59,10
202309,4111157100,237906.0,100.0,경기도 수원시 장안구 정자1동,27754.0,279775.44,2023,154,2,118,0,3,1,49,18,18,59,10
202310,4111157100,373468.0,100.0,경기도 수원시 장안구 정자1동,27668.0,305058.1,2023,154,2,118,0,3,1,49,18,18,59,10
202311,4111157100,312306.0,100.0,경기도 수원시 장안구 정자1동,27577.0,294267.75,2023,154,2,118,0,3,1,49,18,18,59,10
202312,4111157100,384740.0,100.0,경기도 수원시 장안구 정자1동,27561.0,299993.44,2023,154,2,118,0,3,1,49,18,18,59,10
202401,4111157100,345728.0,100.0,경기도 수원시 장안구 정자1동,27530.0,298206.1,2024,114,2,116,0,4,1,93,15,17,57,14
202402,4111157100,211620.0,100.0,경기도 수원시 장안구 정자1동,27516.0,257224.52,2024,114,2,116,0,4,1,93,15,17,57,14
202403,4111157100,139456.0,100.0,경기도 수원시 장안구 정자1동,27620.0,283947.66,2024,114,2,116,0,4,1,93,15,17,57,14
202404,4111157100,280970.0,100.0,경기도 수원시 장안구 정자1동,30345.0,339032.66,2024,114,2,116,0,4,1,93,15,17,57,14
202405,4111157100,205760.0,100.0,경기도 수원시 장안구 정자1동,32164.0,341624.44,2024,114,2,116,0,4,1,93,15,17,57,14
202406,4111157100,205220.0,100.0,경기도 수원시 장안구 정자1동,32692.0,362086.53,2024,114,2,116,0,4,1,93,15,17,57,14
202407,4111157100,189018.0,100.0,경기도 수원시 장안구 정자1동,32983.0,362148.4,2024,114,2,116,0,4,1,93,15,17,57,14
202408,4111157100,139316.0,100.0,경기도 수원시 장안구 정자1동,33277.0,379243.3,2024,114,2,116,0,4,1,93,15,17,57,14
202409,4111157100,212338.0,100.0,경기도 수원시 장안구 정자1동,33382.0,412522.56,2024,114,2,116,0,4,1,93,15,17,57,14
202410,4111157100,154890.0,100.0,경기도 수원시 장안구 정자1동,33466.0,413647.66,2024,114,2,116,0,4,1,93,15,17,57,14
202411,4111157100,201440.0,100.0,경기도 수원시 장안구 정자1동,33427.0,424518.56,2024,114,2,116,0,4,1,93,15,17,57,14
202412,4111157100,239954.0,100.0,경기도 수원시 장안구 정자1동,33481.0,425891.47,2024,114,2,116,0,4,1,93,15,17,57,14
202501,4111157100,189474.0,100.0,경기도 수원시 장안구 정자1동,33517.0,454565.4,2025,110,2,117,0,3,0,100,20,11,55,15
202502,4111157100,289670.0,100.0,경기도 수원시 장안구 정자1동,33545.0,410626.38,2025,110,2,117,0,3,0,100,20,11,55,15
202503,4111157100,197070.0,100.0,경기도 수원시 장안구 정자1동,33516.0,427531.4,2025,110,2,117,0,3,0,100,20,11,55,15
202504,4111157100,125740.0,100.0,경기도 수원시 장안구 정자1동,33493.0,413347.88,2025,110,2,117,0,3,0,100,20,11,55,15
202505,4111157100,128120.0,100.0,경기도 수원시 장안구 정자1동,33460.0,411251.5,2025,110,2,117,0,3,0,100,20,11,55,15
202506,4111157100,142336.0,100.0,경기도 수원시 장안구 정자1동,33446.0,409920.94,2025,110,2,117,0,3,0,100,20,11,55,15
202307,4111157200,87466075.0,100.0,경기도 수원시 장안구 정자2동,36209.0,1102608.0,2023,278,5,245,1,5,2,28,22,25,135,23
202308,4111157200,9481338.0,100.0,경기도 수원시 장안구 정자2동,36081.0,1094405.8,2023,278,5,245,1,5,2,28,22,25,135,23
202309,4111157200,372222.0,100.0,경기도 수원시 장안구 정자2동,36064.0,1084687.1,2023,278,5,245,1,5,2,28,22,25,135,23
202310,4111157200,336518.0,100.0,경기도 수원시 장안구 정자2동,36747.0,1257053.9,2023,278,5,245,1,5,2,28,22,25,135,23
202311,4111157200,343608.0,100.0,경기도 수원시 장안구 정자2동,37211.0,1153873.4,2023,278,5,245,1,5,2,28,22,25,135,23
202312,4111157200,314764.0,100.0,경기도 수원시 장안구 정자2동,37725.0,1191879.8,2023,278,5,245,1,5,2,28,22,25,135,23
202401,4111157200,348874.0,100.0,경기도 수원시 장안구 정자2동,38034.0,1220887.8,2024,255,5,239,1,5,2,61,23,22,131,25
202402,4111157200,378502.0,100.0,경기도 수원시 장안구 정자2동,38361.0,1176296.1,2024,255,5,239,1,5,2,61,23,22,131,25
202403,4111157200,231558.0,100.0,경기도 수원시 장안구 정자2동,38477.0,1258167.2,2024,255,5,239,1,5,2,61,23,22,131,25
202404,4111157200,353230.0,100.0,경기도 수원시 장안구 정자2동,38403.0,1208464.6,2024,255,5,239,1,5,2,61,23,22,131,25
202405,4111157200,297846.0,100.0,경기도 수원시 장안구 정자2동,38402.0,1232758.8,2024,255,5,239,1,5,2,61,23,22,131,25
202406,4111157200,412938.0,100.0,경기도 수원시 장안구 정자2동,38389.0,1189128.2,2024,255,5,239,1,5,2,61,23,22,131,25
202407,4111157200,387794.0,100.0,경기도 수원시 장안구 정자2동,38457.0,1202402.0,2024,255,5,239,1,5,2,61,23,22,131,25
202408,4111157200,343894.0,100.0,경기도 수원시 장안구 정자2동,38477.0,1310900.2,2024,255,5,239,1,5,2,61,23,22,131,25
202409,4111157200,376444.0,100.0,경기도 수원시 장안구 정자2동,38503.0,1696663.4,2024,255,5,239,1,5,2,61,23,22,131,25
202410,4111157200,250568.0,100.0,경기도 수원시 장안구 정자2동,38534.0,1542272.6,2024,255,5,239,1,5,2,61,23,22,131,25
202411,4111157200,265558.0,100.0,경기도 수원시 장안구 정자2동,38549.0,1476222.6,2024,255,5,239,1,5,2,61,23,22,131,25
202412,4111157200,293610.0,100.0,경기도 수원시 장안구 정자2동,38552.0,1571226.2,2024,255,5,239,1,5,2,61,23,22,131,25
202501,4111157200,235748.0,100.0,경기도 수원시 장안구 정자2동,38513.0,1659030.2,2025,225,4,222,1,5,1,58,24,18,121,21
202502,4111157200,410751.0,100.0,경기도 수원시 장안구 정자2동,38442.0,1417313.1,2025,225,4,222,1,5,1,58,24,18,121,21
202503,4111157200,350730.0,100.0,경기도 수원시 장안구 정자2동,38446.0,1526050.8,2025,225,4,222,1,5,1,58,24,18,121,21
202504,4111157200,326598.0,100.0,경기도 수원시 장안구 정자2동,38359.0,1400493.1,2025,225,4,222,1,5,1,58,24,18,121,21
202505,4111157200,272164.0,100.0,경기도 수원시 장안구 정자2동,38312.0,1497756.5,2025,225,4,222,1,5,1,58,24,18,121,21
202506,4111157200,323804.0,100.0,경기도 수원시 장안구 정자2동,38243.0,1448488.8,2025,225,4,222,1,5,1,58,24,18,121,21
202307,4111157300,274902228.0,100.0,경기도 수원시 장안구 정자3동,40050.0,694316.4,2023,342,0,311,2,11,7,163,41,54,126,17
202308,4111157300,41369437.0,100.0,경기도 수원시 장안구 정자3동,39872.0,695759.25,2023,342,0,311,2,11,7,163,41,54,126,17
202309,4111157300,738103.0,100.0,경기도 수원시 장안구 정자3동,39851.0,705658.1,2023,342,0,311,2,11,7,163,41,54,126,17
202310,4111157300,661610.0,100.0,경기도 수원시 장안구 정자3동,39740.0,714892.1,2023,342,0,311,2,11,7,163,41,54,126,17
202311,4111157300,590229.0,100.0,경기도 수원시 장안구 정자3동,39661.0,682493.06,2023,342,0,311,2,11,7,163,41,54,126,17
